gi|636676493|gb|AIA16628.1|Murligasefamily,glutamateligasedomainprotein,partial[unculturedbacterium]|Glycopeptide|FARME|GLYCOPEPTIDE	284
1|2174652|8|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG305.AS1.GP1.C3459.G4|aph|MUSTARD|AMINOGLYCOSIDE	329
gi|995950601|gb|AMJ38342.1|fumaratereductaseflavoproteinC-term,partial[unculturedbacterium]|Beta-lactam|FARME|BETA-LACTAM	177
7398|3875672|26|ARD-reference-gene-catalog|CCF55073_1|erm|MUSTARD|MACROLIDE	243
1|3019824|41|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG378.AS1.GP1.C25807.G2|van|MUSTARD|GLYCOPEPTIDE	343
1|1448409|23|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG229.AS1.GP1.C35745.G8|dfrA|MUSTARD|TRIMETHOPRIM	158
gi|636669481|gb|AIA12017.1|HflKprotein[unculturedbacterium]|FolateSynthesisInhibitor|FARME|FOLATE-SYNTHESIS-INHABITOR	570
WP_049463959.1|L2-117|L2familyclassAbeta-lactamase[Stenotrophomonasmaltophilia]|BLDB|BETA-LACTAM	304
AXC08553.1|OXA-661|OXA-266familyclassDbeta-lactamaseOXA-661[Acinetobactervenetianus]|BLDB|BETA-LACTAM	277
gi|636676074|gb|AIA16352.1|Transketolase,thiaminediphosphatebindingdomainprotein,partial[unculturedbacterium]|FolateSynthesisInhibitor|FARME|FOLATE-SYNTHESIS-INHABITOR	475
gi|636669970|gb|AIA12347.1|Helix-turn-helixdomainprotein[unculturedbacterium]|FolateSynthesisInhibitor|FARME|FOLATE-SYNTHESIS-INHABITOR	230
gi|636667682|gb|AIA10916.1|penicillinbindingproteintranspeptidasedomainprotein,partial[unculturedbacterium]|Beta-lactam|FARME|BETA-LACTAM	303
gi|636672614|gb|AIA14036.1|Thymidylatesynthase,partial[unculturedbacterium]|FolateSynthesisInhibitor|FARME|FOLATE-SYNTHESIS-INHABITOR	223
gi|636670114|gb|AIA12426.1|PINdomainprotein[unculturedbacterium]|Beta-lactam|FARME|BETA-LACTAM	127
1|3633708|23|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG81.AS1.GP1.C4075.G2|dfrA|MUSTARD|TRIMETHOPRIM	159
1|3710796|23|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG89.AS1.GP1.C31736.G8|dfrA|MUSTARD|TRIMETHOPRIM	154
1|1637804|14|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG254.AS1.GP1.C29810.G2|blab1|MUSTARD|BETA-LACTAM	226
1|302751|39|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG12.AS1.GP1.C56106.G11|tetM|MUSTARD|TETRACYCLINE	718
gi|636669573|gb|AIA12079.1|Leucyl/phenylalanyl-tRNAproteintransferase[unculturedbacterium]|Tetracycline|FARME|TETRACYCLINE	199
gi|636676148|gb|AIA16403.1|Thymidylatekinase,partial[unculturedbacterium]|FolateSynthesisInhibitor|FARME|FOLATE-SYNTHESIS-INHABITOR	396
gi|636674966|gb|AIA15609.1|Dihydrofolatereductase[unculturedbacterium]|FolateSynthesisInhibitor|FARME|FOLATE-SYNTHESIS-INHABITOR	162
gi|583596984|gb|EWE59955.1|beta-lactamaseOXA-9[KlebsiellapneumoniaeBIDMC14]>gi|636400106|gb|KDL77217.1|beta-lactamaseOXA-9[KlebsiellapneumoniaeMGH73]>gi|839561930|gb|KMG37433.1|beta-lactamaseOXA-9[Klebsiellapneumoniae]|beta-lactam__OXA-9|SARG|BETA-LACTAM	263
1|2294071|39|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG32.AS1.GP1.C9733.G1|tetM|MUSTARD|TETRACYCLINE	602
YP_001925041undecaprenolkinase[MethylobacteriumpopuliBJ001].|bacitracin__bacA|SARG|BACITRACIN	283
gi|636671709|gb|AIA13417.1|Pyridoxal-phosphatedependentenzyme[unculturedbacterium]|Glycopeptide|FARME|GLYCOPEPTIDE	357
gi|995947923|gb|AMJ36411.1|chorismatebindingenzyme,partial[unculturedbacterium]|Tetracycline|FARME|TETRACYCLINE	51
gi|636673469|gb|AIA14610.1|EamA-liketransporterfamily[unculturedbacterium]|Glycopeptide|FARME|GLYCOPEPTIDE	287
OLB87491.1|XB3X1115-1|subclassB3metallo-beta-lactamase[Acidobacteriabacterium13_2_20CM_2_57_6]|BLDB|BETA-LACTAM	291
WP_065649355.1|PANC1-1|classCbeta-lactamase[Pantoeaeucrina]|BLDB|BETA-LACTAM	371
gi|636675640|gb|AIA16055.1|Alpha/betahydrolasefamily[unculturedbacterium]|Glycopeptide|FARME|GLYCOPEPTIDE	304
EJE52324.1|Acid-3|beta-lactamaseclassA[Acidovoraxsp.CF316]|BLDB|BETA-LACTAM	297
gi|636673305|gb|AIA14495.1|UnknownFunction[unculturedbacterium]|Tetracycline|FARME|TETRACYCLINE	183
WP_043618831.1|ENSC10-4|classCbeta-lactamase[Ensifersp.ZNC0028]|BLDB|BETA-LACTAM	390
1|2427888|36|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG327.AS1.GP1.C29350.G38|sul|MUSTARD|SULFONAMIDE	268
1|1194782|36|Human-Microbiome-3.9M-Gene-Catalog-(metahit-v2)|MC3.MG2.AS1.GP1.C4972.G6|sul|MUSTARD|SULFONAMIDE	283
KQU89194.1|XB3X668-3|subclassB3metallo-beta-lactamase[Ensifersp.Root31]|BLDB|BETA-LACTAM	286
